Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;13:00:00;14:30:00;02/12/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;23/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;16/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;09/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;02/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;21/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;14/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;07/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;22/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;15/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;08/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;10:30:00;12:00:00;04/11/2022;Sala Aulas Mestrado;AA2.26;30.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;12:00:00;13:30:00;04/11/2022;Sala Aulas Mestrado;AA2.26;30.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;14:30:00;16:00:00;02/12/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;28/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;21/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;14/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;07/11/2022;Sala Aulas Mestrado;AA2.25;34.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;14/12/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;07/12/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;30/11/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;23/11/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;16/11/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;09/11/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;02/11/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;26/10/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;19/10/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;12/10/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;28/09/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL05;PA3;23;Qua;11:00:00;12:30:00;21/09/2022;Sala de Aulas normal;2,00E+07;50.0;Sala/anfiteatro aulas, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;09/12/2022;Sala de Aulas normal;C5.06;70.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;02/12/2022;Sala de Aulas normal;C5.06;70.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;25/11/2022;Sala de Aulas normal;C5.06;70.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;18/11/2022;Sala de Aulas normal;C5.06;70.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;11/11/2022;Sala de Aulas normal;C5.06;70.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;28/10/2022;Sala de Aulas normal;C5.06;70.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
