Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sex;14:00:00;15:30:00;23/09/2022;Sala Aulas Mestrado;Auditório C1.04;60;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;18:00:00;21:00:00;24/10/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;14:00:00;17:00:00;06/12/2022;Sala Aulas Mestrado;AA2.24;30;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sáb;19:30:00;21:00:00;05/11/2022;Sala Aulas Mestrado;B3.05;60;Arq 5, Arq 9, Horário sala visível portal público, Sala de Arquitectura
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sáb;18:00:00;20:30:00;01/10/2022;Sala Aulas Mestrado;B3.02;60;Arq 2, Horário sala visível portal público, Sala de Arquitectura
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Ter;14:30:00;16:00:00;20/09/2022;Sala Aulas Mestrado;D1.10;20;Horário sala visível portal público, Laboratório de Informática
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;20:00:00;21:00:00;02/11/2022;Sala Aulas Mestrado;D1.03;20;Horário sala visível portal público, Laboratório de Informática
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qui;20:30:00;22:00:00;10/11/2022;Sala Aulas Mestrado;B3.05;60;Arq 5, Arq 9, Horário sala visível portal público, Sala de Arquitectura
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Seg;11:00:00;12:30:00;28/11/2022;Sala Aulas Mestrado;0S02;41;Horário sala visível portal público, Laboratório de Informática
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qui;13:30:00;15:00:00;12/01/2023;Sala Aulas Mestrado;AA2.23;50;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala NEE, Sala de Aulas normal
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;14:00:00;15:30:00;21/09/2022;Sala Aulas Mestrado;B3.05;60;Arq 5, Arq 9, Horário sala visível portal público, Sala de Arquitectura
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qui;18:30:00;21:30:00;20/10/2022;Sala Aulas Mestrado;B3.06;60;Arq 6, Horário sala visível portal público, Sala de Arquitectura
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Qua;14:00:00;18:00:00;07/12/2022;Sala Aulas Mestrado;C5.02;50;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
ME;Teoria dos Jogos e dos Contratos;01789TP01;MEA1;30;Sáb;20:30:00;22:30:00;01/10/2022;Sala Aulas Mestrado;C4.08;60;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
